time_stamp, total time, matches num, keypoints num, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1669817744.11167383,0.17026373,202,269,0,298849,0.00000000,300241,2363,40445920,0.00000000
1669817744.21112180,0.16540039,227,311,0,298458,0.00000000,299616,2489,40445920,0.00000000
1669817744.31120610,0.17352352,217,291,0,299616,0.00000000,300175,2954,40445920,0.00000000
1669817744.41210508,0.16943322,231,331,0,300175,0.00000000,301467,2831,40445920,0.00000000
1669817744.51228547,0.17383981,228,283,0,301467,0.00000000,302871,2707,40445920,0.00000000
1669817744.61395788,0.16792823,172,279,0,302871,0.00000000,304326,2704,40445920,0.00000000
1669817744.71510124,0.16885923,160,288,0,304326,0.00000000,305161,2523,40445920,0.00000000
1669817744.81320286,0.16452098,160,249,0,305161,0.00000000,306334,2262,40445920,0.00000000
1669817744.91241717,0.16910470,189,274,0,305358,0.00000000,306948,2494,40445920,0.00000000
1669817745.01168656,0.16810935,168,263,0,306948,0.00000000,308381,2498,40445920,0.00000000
1669817745.11214137,0.17097790,156,272,0,305940,0.00000000,307053,2482,40445920,0.00000000
1669817745.21142697,0.17606170,149,264,0,307053,0.00000000,308328,2091,40445920,0.00000000
1669817745.31081796,0.16796625,150,272,0,308328,0.00000000,309977,2614,40445920,0.00000000
1669817745.41170788,0.17339405,179,260,0,308846,0.00000000,310148,2333,40445920,0.00000000
1669817745.51274776,0.16457564,203,270,0,310148,0.00000000,311256,2172,40445920,0.00000000
1669817745.61480379,0.17708498,185,267,0,311256,0.00000000,312630,2854,40445920,0.00000000
1669817745.71426725,0.15869825,183,258,0,312591,0.00000000,313947,2190,40445920,0.00000000
1669817745.81664944,0.17966340,187,263,0,313947,0.00000000,314906,1797,40445920,0.00000000
1669817745.91642904,0.16921766,170,256,0,314701,0.00000000,315567,1733,40445920,0.00000000
1669817746.01508975,0.16599491,184,287,0,313166,0.00000000,314654,2103,40445920,0.00000000
1669817746.11363339,0.16382439,169,258,0,311175,0.00000000,312820,2584,40445920,0.00000000
1669817746.21263242,0.16167894,189,264,0,312820,0.00000000,313970,2082,40445920,0.00000000
1669817746.31251407,0.16622339,168,261,0,313461,0.00000000,314553,1755,40445920,0.00000000
1669817746.40484571,0.15870714,158,248,0,314553,0.00000000,316016,2134,40445920,0.00000000
1669817746.50557971,0.17572288,145,253,0,315075,0.00000000,316064,2205,40445920,0.00000000
1669817746.60530710,0.17132554,160,259,0,315074,0.00000000,316374,1858,40445920,0.00000000
1669817746.70586395,0.16126427,161,280,0,316374,0.00000000,317866,2245,40445920,0.00000000
1669817746.80699897,0.17958331,162,277,0,317866,0.00000000,318940,1964,40445920,0.00000000
1669817746.90657234,0.16682809,142,257,0,318617,0.00000000,319473,1796,40445920,0.00000000
1669817747.00681281,0.17044278,143,251,0,319473,0.00000000,320427,1972,40445920,0.00000000
1669817747.10616541,0.16014361,136,251,0,320427,0.00000000,321692,2070,40445920,0.00000000
1669817747.20477033,0.16332475,185,254,0,321692,0.00000000,323244,2419,40445920,0.00000000
1669817747.30355644,0.16418481,177,268,0,323244,0.00000000,324427,2066,40445920,0.00000000
1669817747.40299273,0.15837258,181,257,0,324427,0.00000000,325494,1959,40445920,0.00000000
1669817747.50270891,0.16898986,175,258,0,325494,0.00000000,326902,2237,40445920,0.00000000
1669817747.60276413,0.16389100,153,258,0,326902,0.00000000,328256,2170,40445920,0.00000000
1669817747.70374918,0.15758614,152,289,0,327574,0.00000000,328423,1830,40445920,0.00000000
1669817747.80535388,0.16064872,222,282,0,328423,0.00000000,329607,2177,40445920,0.00000000
1669817747.90627122,0.15753319,177,257,0,329607,0.00000000,330787,1821,40445920,0.00000000
1669817748.00648761,0.15792057,167,275,0,330787,0.00000000,331673,1726,40445920,0.00000000
1669817748.10671234,0.17191641,197,299,0,331504,0.00000000,332507,1801,40445920,0.00000000
1669817748.20668149,0.16594688,171,257,0,332507,0.00000000,333548,1852,40445920,0.00000000
1669817748.30590439,0.17324964,191,265,0,333548,0.00000000,334503,2082,40445920,0.00000000
1669817748.40430927,0.17073342,138,252,0,334503,0.00000000,335424,1857,40445920,0.00000000
1669817748.50412321,0.16522730,160,260,0,335424,0.00000000,336430,1611,40445920,0.00000000
1669817748.60319614,0.15559818,166,256,0,336430,0.00000000,337631,2070,40445920,0.00000000
1669817748.70302725,0.16194806,136,261,0,337631,0.00000000,338019,1880,40445920,0.00000000
1669817748.80329132,0.16490158,113,243,0,338019,0.00000000,339155,2202,40445920,0.00000000
1669817748.90443754,0.15783690,163,246,0,339155,0.00000000,340219,2678,40445920,0.00000000
1669817749.00527501,0.15689951,135,250,0,340219,0.00000000,341406,2146,40445920,0.00000000
1669817749.10627055,0.15939269,134,259,0,341406,0.00000000,342363,1892,40445920,0.00000000
1669817749.20720792,0.15656812,143,258,0,341918,0.00000000,343413,2148,40445920,0.00000000
1669817749.30611062,0.16288977,138,248,0,341865,0.00000000,342972,2385,40445920,0.00000000
1669817749.40681720,0.15625189,168,260,0,342972,0.00000000,344262,2275,40445920,0.00000000
1669817749.50586367,0.16685736,151,228,0,344262,0.00000000,345513,1926,40445920,0.00000000
1669817749.60539532,0.16402706,166,243,0,345182,0.00000000,346182,1946,40445920,0.00000000
1669817749.70619845,0.17309654,163,248,0,346182,0.00000000,347762,2469,40445920,0.00000000
1669817749.80663586,0.17094451,170,245,0,346537,0.00000000,347902,2354,40445920,0.00000000
1669817749.90732002,0.17094604,150,247,0,347902,0.00000000,349257,2638,40445920,0.00000000
1669817750.00749707,0.16984478,170,266,0,348241,0.00000000,349775,2548,40445920,0.00000000
1669817750.10777044,0.16243690,192,271,0,349593,0.00000000,350887,2227,40445920,0.00000000
1669817750.20753431,0.15819501,181,261,0,350004,0.00000000,351314,2268,40445920,0.00000000
1669817750.30842948,0.16434861,166,271,0,351314,0.00000000,352649,2672,40445920,0.00000000
1669817750.40735102,0.16636596,164,289,0,352649,0.00000000,353877,2509,40445920,0.00000000
1669817750.50656629,0.16436437,211,286,0,353877,0.00000000,355751,2660,40445920,0.00000000
1669817750.60524273,0.16560839,214,279,0,355291,0.00000000,356587,2591,40445920,0.00000000
1669817750.70457911,0.16268849,194,285,0,356587,0.00000000,358392,3067,40445920,0.00000000
1669817750.80621076,0.15712574,227,290,0,357807,0.00000000,358933,2741,40445920,0.00000000
1669817750.90591288,0.16894027,183,295,0,358933,0.00000000,360331,2683,40445920,0.00000000
1669817751.00711417,0.15712966,228,265,0,360331,0.00000000,361896,2604,40445920,0.00000000
1669817751.10830021,0.16047143,190,257,0,361896,0.00000000,362910,2751,40445920,0.00000000
1669817751.20884156,0.16677354,172,270,0,362910,0.00000000,364185,2322,40445920,0.00000000
1669817751.30883002,0.16319178,198,275,0,362498,0.00000000,364262,2587,40445920,0.00000000
1669817751.40835428,0.16307285,143,241,0,362154,0.00000000,363856,2517,40445920,0.00000000
1669817751.50754309,0.16723391,199,282,0,363856,0.00000000,365561,2965,40445920,0.00000000
1669817751.60752034,0.16230554,166,268,0,365561,0.00000000,367246,2578,40445920,0.00000000
1669817751.70846653,0.15915506,217,284,0,367246,0.00000000,368645,2283,40445920,0.00000000
1669817751.80822754,0.16802683,167,266,0,368645,0.00000000,370016,2530,40445920,0.00000000
1669817751.90802860,0.16621589,193,287,0,370016,0.00000000,371881,2690,40445920,0.00000000
1669817752.00773215,0.15884600,143,272,0,371650,0.00000000,373079,2641,40445920,0.00000000
1669817752.10857511,0.16426679,216,286,0,372440,0.00000000,374244,2763,40445920,0.00000000
1669817752.21085858,0.16042559,159,289,0,374244,0.00000000,375427,2488,40445920,0.00000000
1669817752.30979538,0.16471729,203,293,0,375427,0.00000000,377338,2352,40445920,0.00000000
1669817752.40943527,0.16287980,169,277,0,372253,0.00000000,374080,2740,40445920,0.00000000
1669817752.50886130,0.15640472,176,285,0,374080,0.00000000,376581,3501,40445920,0.00000000
1669817752.60863185,0.15944417,162,301,0,376581,0.00000000,378467,3069,40445920,0.00000000
1669817752.70858908,0.16585979,198,264,0,378467,0.00000000,380021,3091,40445920,0.00000000
1669817752.80895829,0.15588675,200,277,0,379856,0.00000000,382123,3280,40445920,0.00000000
1669817752.90880203,0.16177766,185,294,0,381800,0.00000000,383449,2584,40445920,0.00000000
1669817753.00813961,0.16592310,163,260,0,382339,0.00000000,383715,2775,40445920,0.00000000
1669817753.10984564,0.16240712,217,264,0,383715,0.00000000,385445,2766,40445920,0.00000000
1669817753.21101904,0.17647385,150,266,0,384699,0.00000000,385485,2641,40445920,0.00000000
1669817753.30981374,0.16476472,187,269,0,369623,0.00000000,372040,2652,40445920,0.00000000
1669817753.40949440,0.15923334,197,289,0,372040,0.00000000,374700,3106,40445920,0.00000000
1669817753.50949430,0.15739216,190,288,0,374700,0.00000000,377250,2995,40445920,0.00000000
1669817753.60866261,0.17015015,180,289,0,377250,0.00000000,379168,2673,40445920,0.00000000
1669817753.70792055,0.15450008,176,248,0,379168,0.00000000,381039,2421,40445920,0.00000000
1669817753.80797648,0.15374411,219,289,0,381039,0.00000000,382615,2280,40445920,0.00000000
1669817753.90730000,0.16854487,200,302,0,382615,0.00000000,384429,2538,40445920,0.00000000
1669817754.00756788,0.15879813,200,275,0,384429,0.00000000,386041,2312,40445920,0.00000000
1669817754.10922146,0.16529934,173,254,0,386041,0.00000000,387867,2534,40445920,0.00000000
1669817754.21044850,0.17389117,180,270,0,387867,0.00000000,389590,2652,40445920,0.00000000
1669817754.30927706,0.16641633,184,287,0,389590,0.00000000,391013,2104,40445920,0.00000000
1669817754.40885711,0.15668109,201,277,0,390936,0.00000000,392442,2242,40445920,0.00000000
1669817754.50919724,0.17030614,187,300,0,392442,0.00000000,394377,2997,40445920,0.00000000
1669817754.60889125,0.16408085,209,287,0,394377,0.00000000,396345,3097,40445920,0.00000000
1669817754.70814753,0.15511165,196,278,0,396345,0.00000000,397428,2524,40445920,0.00000000
1669817754.80845165,0.16068966,170,278,0,397428,0.00000000,398577,2071,40445920,0.00000000
1669817754.90869427,0.15523412,200,277,0,398577,0.00000000,400296,2690,40445920,0.00000000
1669817755.00831437,0.15759658,202,277,0,400296,0.00000000,401442,2683,40445920,0.00000000
1669817755.10866857,0.15982893,220,300,0,401442,0.00000000,402842,2362,40445920,0.00000000
1669817755.20989466,0.16325475,222,305,0,402842,0.00000000,404614,3033,40445920,0.00000000
1669817755.30991411,0.15519480,186,283,0,404614,0.00000000,405479,2676,40445920,0.00000000
1669817755.41175485,0.16281087,228,306,0,405374,0.00000000,406606,2287,40445920,0.00000000
1669817755.51061916,0.15924810,177,301,0,406606,0.00000000,408209,2807,40445920,0.00000000
1669817755.60993767,0.16290599,177,269,0,408209,0.00000000,409683,3071,40445920,0.00000000
1669817755.70939660,0.15758498,146,301,0,409683,0.00000000,411301,3215,40445920,0.00000000
1669817755.80913901,0.15908464,176,286,0,411301,0.00000000,412701,2655,40445920,0.00000000
1669817755.90934777,0.15855855,195,280,0,412701,0.00000000,414073,2586,40445920,0.00000000
1669817756.00952148,0.15383483,184,295,0,414073,0.00000000,415396,2621,40445920,0.00000000
1669817756.10915375,0.15837707,136,255,0,415396,0.00000000,417001,2732,40445920,0.00000000
1669817756.20948935,0.16711849,192,291,0,417001,0.00000000,418330,2757,40445920,0.00000000
1669817756.31143713,0.15817597,188,286,0,418330,0.00000000,419774,2919,40445920,0.00000000
1669817756.41266060,0.16239782,192,301,0,419774,0.00000000,420956,2878,40445920,0.00000000
1669817756.51261330,0.16193003,184,308,0,420956,0.00000000,422146,2591,40445920,0.00000000
1669817756.60525250,0.17642047,189,289,0,422146,0.00000000,423438,2392,40445920,0.00000000
1669817756.70443892,0.17683742,229,308,0,423438,0.00000000,424843,2940,40445920,0.00000000
1669817756.80333352,0.16073099,156,309,0,424843,0.00000000,426093,2772,40445920,0.00000000
1669817756.90353084,0.16053138,196,312,0,426093,0.00000000,427520,2418,40445920,0.00000000
1669817757.00523138,0.19002935,223,291,0,427321,0.00000000,429888,2717,40445920,0.00000000
1669817757.10575080,0.15990719,197,308,0,429888,0.00000000,432404,2653,40445920,0.00000000
1669817757.20627499,0.16350113,225,308,0,399809,0.00000000,401879,2438,40445920,0.00000000
1669817757.31022859,0.15785293,204,301,0,401879,0.00000000,404063,2744,40445920,0.00000000
1669817757.40726304,0.15336515,206,289,0,404063,0.00000000,406098,2488,40445920,0.00000000
1669817757.50710464,0.15731934,206,343,0,406098,0.00000000,407981,2318,40445920,0.00000000
1669817757.60634685,0.16086775,241,321,0,407981,0.00000000,409983,2712,40445920,0.00000000
1669817757.70675373,0.17423080,183,290,0,409983,0.00000000,411738,2241,40445920,0.00000000
1669817757.80762196,0.17243227,160,322,0,411738,0.00000000,413690,2741,40445920,0.00000000
1669817757.90725255,0.18932515,185,305,0,413690,0.00000000,416034,3046,40445920,0.00000000
1669817758.00754738,0.16902178,200,294,0,416034,0.00000000,417690,2356,40445920,0.00000000
1669817758.10811806,0.16259346,212,327,0,417690,0.00000000,419554,2555,40445920,0.00000000
